ARG99_cluster_id	representative_ARG_gene	ARG_gene_list	ARG_class	hit_count	carrier_genome_count	summary_genome_count	genus_count	species_count	source_type_count	MGE_associated_hit_count	MGE_associated_rate	dominant_MGE_display_category	total_genome_pair_count	between_genus_pair_count	between_genus_pair_fraction	between_species_pair_count	between_species_pair_fraction	between_source_pair_count	between_source_pair_fraction	between_genus_and_source_pair_count	between_genus_and_source_pair_fraction	same_genus_between_source_pair_count	between_genus_same_source_pair_count	any_MGE_associated_pair_count	any_MGE_associated_pair_fraction	both_MGE_associated_pair_count	both_MGE_associated_pair_fraction	multi_genome	multi_species	multi_genus	multi_source	multi_genus_and_source	above_background_MGE_rate_19_5pct	putative_cross_genus_sharing_candidate	has_MGE_evidence	above_background_MGE_rate	is_tetM	is_tetM_Tn916_like
repARGgff0001174	tet(W)	tet(W)	tetracycline	160	157	157	3	32	4	0	0.0	No detected MGE evidence	12246	6810	0.55609995	11257	0.91923894	6668	0.54450433	3590	0.29315695	3078	3220	0	0.0	0	0.0	yes	yes	yes	yes	yes	no	yes	False	False	False	False
repARGgff0000002	ErmA	ErmA	MLS	15	15	15	3	4	3	2	0.1333333333333333	IS/transposase	105	47	0.44761905	71	0.67619048	59	0.56190476	29	0.27619048	30	18	27	0.25714286	1	0.00952381	yes	yes	yes	yes	yes	no	yes	True	False	False	False
repARGgff0000003	CfxA2	CfxA2	beta-lactam	1	1	1	1	1	1	0	0.0	No detected MGE evidence	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	no	no	no	no	no	no	no	False	False	False	False
repARGgff0001346	ErmG	ErmG	MLS	10	10	10	2	6	2	0	0.0	No detected MGE evidence	45	16	0.35555556	40	0.88888889	16	0.35555556	4	0.08888889	12	12	0	0.0	0	0.0	yes	yes	yes	yes	yes	no	yes	False	False	False	False
repARGgff0001217	vatE	vatE	MLS	47	46	46	5	17	4	3	0.0638297872340425	IS/transposase	1035	712	0.68792271	927	0.89565217	357	0.34492754	245	0.23671498	112	467	132	0.12753623	3	0.00289855	yes	yes	yes	yes	yes	no	yes	True	False	False	False
repARGgff0000481	fexB	fexB	phenicol	46	45	45	6	15	4	15	0.3260869565217391	IS/transposase	990	658	0.66464646	869	0.87777778	243	0.24545455	169	0.17070707	74	489	525	0.53030303	91	0.09191919	yes	yes	yes	yes	yes	yes	yes	True	True	False	False
repARGgff0000418	fexA	fexA	phenicol	22	22	22	4	11	2	2	0.0909090909090909	IS/transposase	231	143	0.61904762	215	0.93073593	21	0.09090909	9	0.03896104	12	134	41	0.17748918	1	0.004329	yes	yes	yes	yes	yes	no	yes	True	False	False	False
repARGgff0000116	lnuA	lnuA	MLS	84	81	81	7	20	4	0	0.0	No detected MGE evidence	3240	2270	0.70061728	2886	0.89074074	1168	0.36049383	854	0.26358025	314	1416	0	0.0	0	0.0	yes	yes	yes	yes	yes	no	yes	False	False	False	False
repARGgff0001345	dfrG	dfrG	trimethoprim	18	18	18	4	13	3	0	0.0	No detected MGE evidence	153	109	0.7124183	147	0.96078431	71	0.46405229	48	0.31372549	23	61	0	0.0	0	0.0	yes	yes	yes	yes	yes	no	yes	False	False	False	False
repARGgff0000489	mef(F)	mef(F)	MLS	3	3	3	3	3	1	1	0.3333333333333333	IS/transposase	3	3	1.0	3	1.0	0	0.0	0	0.0	0	3	2	0.66666667	0	0.0	yes	yes	yes	no	no	yes	yes	True	True	False	False
