ARG99_cluster_id	multi_species
repARGgff0000644	True
repARGgff0001321	True
repARGgff0000116	True
repARGgff0000483	True
repARGgff0000481	True
repARGgff0000289	True
repARGgff0000421	True
repARGgff0000195	True
repARGgff0001217	True
repARGgff0000834	True
repARGgff0001154	True
repARGgff0000420	True
repARGgff0001345	True
repARGgff0000641	True
repARGgff0000418	True
repARGgff0001090	True
repARGgff0001299	True
repARGgff0001174	True
repARGgff0000290	True
repARGgff0000597	True
repARGgff0000230	True
repARGgff0001393	True
repARGgff0000002	True
repARGgff0001127	True
repARGgff0001128	True
repARGgff0001314	True
repARGgff0000922	True
repARGgff0001089	True
repARGgff0000677	True
repARGgff0001155	True
repARGgff0000489	True
repARGgff0000490	True
repARGgff0001409	True
repARGgff0001122	True
repARGgff0001121	True
repARGgff0000106	True
repARGgff0000183	True
repARGgff0000969	True
repARGgff0000780	True
repARGgff0001346	True
repARGgff0000578	True
repARGgff0000035	True
repARGgff0001281	True
repARGgff0000331	True
repARGgff0000690	True
repARGgff0001385	True
repARGgff0001421	True
repARGgff0001160	True
repARGgff0000038	True
repARGgff0001315	True
repARGgff0001380	True
repARGgff0000120	True
repARGgff0001200	True
repARGgff0000045	False
repARGgff0000058	True
repARGgff0000091	True
repARGgff0001177	True
repARGgff0001334	True
repARGgff0001369	True
repARGgff0000385	True
repARGgff0001282	False
repARGgff0001328	True
repARGgff0000545	False
repARGgff0000317	False
repARGgff0000714	False
repARGgff0000721	True
repARGgff0000642	False
repARGgff0000711	False
repARGgff0001087	True
repARGgff0001320	False
repARGgff0000108	True
repARGgff0000507	False
repARGgff0000561	False
repARGgff0000607	True
repARGgff0000761	True
repARGgff0000956	True
repARGgff0000957	True
repARGgff0001141	True
repARGgff0001207	True
repARGgff0001210	False
repARGgff0001304	True
repARGgff0001327	True
repARGgff0000003	False
repARGgff0000063	False
repARGgff0000066	False
repARGgff0000072	False
repARGgff0000073	False
repARGgff0000083	False
repARGgff0000118	False
repARGgff0000131	False
repARGgff0000144	False
repARGgff0000154	False
repARGgff0000158	False
repARGgff0000182	False
repARGgff0000185	False
repARGgff0000220	False
repARGgff0000257	False
repARGgff0000322	False
repARGgff0000371	False
repARGgff0000395	False
repARGgff0000402	False
repARGgff0000426	False
repARGgff0000526	False
repARGgff0000529	False
repARGgff0000551	False
repARGgff0000655	False
repARGgff0000678	False
repARGgff0000687	False
repARGgff0000691	False
repARGgff0000723	False
repARGgff0000755	False
repARGgff0000763	False
repARGgff0000889	False
repARGgff0000921	False
repARGgff0000944	False
repARGgff0000971	False
repARGgff0000984	False
repARGgff0000992	False
repARGgff0000996	False
repARGgff0001021	False
repARGgff0001039	False
repARGgff0001040	False
repARGgff0001041	False
repARGgff0001042	False
repARGgff0001052	False
repARGgff0001091	False
repARGgff0001092	False
repARGgff0001135	False
repARGgff0001139	False
repARGgff0001140	False
repARGgff0001142	False
repARGgff0001176	False
repARGgff0001197	False
repARGgff0001198	False
repARGgff0001204	False
repARGgff0001226	False
repARGgff0001230	False
repARGgff0001242	False
repARGgff0001254	False
repARGgff0001255	False
repARGgff0001257	False
repARGgff0001266	False
repARGgff0001278	False
repARGgff0001291	False
repARGgff0001294	False
repARGgff0001296	False
repARGgff0001317	False
repARGgff0001337	False
repARGgff0001338	False
repARGgff0001339	False
repARGgff0001344	False
repARGgff0001348	False
repARGgff0001349	False
repARGgff0001350	False
repARGgff0001352	False
repARGgff0001353	False
repARGgff0001360	False
repARGgff0001362	False
repARGgff0001382	False
repARGgff0001404	False
repARGgff0001423	False
