genome_id	genus	species	source_type
LABG_000008	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000009	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000021	Lactobacillus		animal
LABG_000022	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000023	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000025	Bombilactobacillus		animal
LABG_000036	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000038	Lactobacillus	Lactobacillus panisapium	animal
LABG_000052	Dellaglioa		food
LABG_000053	Levilactobacillus	Levilactobacillus cerevisiae	food
LABG_000054	Latilactobacillus	Latilactobacillus fuchuensis	food
LABG_000055	Latilactobacillus	Latilactobacillus fuchuensis	food
LABG_000056	Latilactobacillus	Latilactobacillus sakei	food
LABG_000062	Latilactobacillus	Latilactobacillus sakei	food
LABG_000080	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000082	Latilactobacillus	Latilactobacillus sakei	food
LABG_000099	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000128	Limosilactobacillus	Limosilactobacillus antri	human
LABG_000202	Leuconostoc	Leuconostoc lactis	human
LABG_000208	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000212	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000229	Ligilactobacillus		human
LABG_000244	Lactobacillus	Lactobacillus panisapium	animal
LABG_000256	Lactobacillus	Lactobacillus panisapium	animal
LABG_000261	Lactobacillus	Lactobacillus panisapium	animal
LABG_000263	Lactobacillus	Lactobacillus panisapium	animal
LABG_000265	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000266	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000269	Lactobacillus	Lactobacillus panisapium	animal
LABG_000272	Lactobacillus	Lactobacillus panisapium	animal
LABG_000273	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000274	Lactobacillus	Lactobacillus panisapium	animal
LABG_000277	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000278	Lactobacillus	Lactobacillus panisapium	animal
LABG_000285	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000290	Lactobacillus	Lactobacillus panisapium	animal
LABG_000307	Lactobacillus	Lactobacillus panisapium	animal
LABG_000314	Lactobacillus	Lactobacillus panisapium	animal
LABG_000320	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000321	Lactobacillus	Lactobacillus panisapium	animal
LABG_000324	Lactobacillus	Lactobacillus panisapium	animal
LABG_000331	Lactobacillus	Lactobacillus panisapium	animal
LABG_000335	Lactobacillus	Lactobacillus panisapium	animal
LABG_000347	Lactobacillus	Lactobacillus sp948500755	animal
LABG_000348	Limosilactobacillus	Limosilactobacillus reuteri_G	animal
LABG_000376	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000377	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000400	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000406	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000411	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000417	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000422	Lactobacillus	Lactobacillus sp910589675	animal
