analysis_unit	PTU	target_positive	target_total	target_positive_fraction	background_positive	background_total	odds_ratio	one_sided_fisher_p	BH_q	enriched_BH_q_lt_0.05
accession_used	PTU-Lab13	5	5	1.0	22	1254	inf	3.0870323769606875e-09	1.1422019794754544e-07	True
accession_used	PTU-Lab30	8	67	0.11940298507462686	19	1192	8.371097234611954	4.1872410194783164e-05	0.0007746395886034886	True
accession_used	PTU-E53	2	2	1.0	25	1257	inf	0.0004432316257761289	0.005466523384572257	True
accession_used	PTU-Bac45	2	3	0.6666666666666666	25	1256	98.48	0.0013120643432879679	0.012136595175413703	True
accession_used	PTU-Lab36	2	4	0.5	25	1255	49.2	0.002589372952273327	0.019161359846822622	True
accession_used	PTU-Bif2	1	1	1.0	26	1258	inf	0.021445591739475772	0.13224781572676728	False
accession_used	PTU-Bac29	0	1	0.0	27	1258	0.0	1.0	1.0	False
accession_used	PTU-Lab1	0	45	0.0	27	1214	0.0	1.0	1.0	False
accession_used	PTU-Lab10	0	17	0.0	27	1242	0.0	1.0	1.0	False
accession_used	PTU-Lab11	0	59	0.0	27	1200	0.0	1.0	1.0	False
accession_used	PTU-Lab12	0	28	0.0	27	1231	0.0	1.0	1.0	False
accession_used	PTU-Lab19	0	105	0.0	27	1154	0.0	1.0	1.0	False
accession_used	PTU-Lab2	0	47	0.0	27	1212	0.0	1.0	1.0	False
accession_used	PTU-Lab20	0	8	0.0	27	1251	0.0	1.0	1.0	False
accession_used	PTU-Lab21	0	35	0.0	27	1224	0.0	1.0	1.0	False
accession_used	PTU-Lab22	2	158	0.012658227848101266	25	1101	0.5517948717948717	0.8723162094055259	1.0	False
accession_used	PTU-Lab23	2	136	0.014705882352941176	25	1123	0.6555223880597015	0.8081797756213094	1.0	False
accession_used	PTU-Lab26	0	106	0.0	27	1153	0.0	1.0	1.0	False
accession_used	PTU-Lab27	0	2	0.0	27	1257	0.0	1.0	1.0	False
accession_used	PTU-Lab28	0	1	0.0	27	1258	0.0	1.0	1.0	False
accession_used	PTU-Lab29	0	30	0.0	27	1229	0.0	1.0	1.0	False
accession_used	PTU-Lab31	1	29	0.034482758620689655	26	1230	1.6538461538461537	0.47052260932932727	1.0	False
accession_used	PTU-Lab33	0	7	0.0	27	1252	0.0	1.0	1.0	False
