PTU	host_range_grade	host_range_grade_numeric	ARG_positive_plasmids_80_80	project_plasmid_count	ARG_positive_fraction_80_80	ARG_positive_rate_pct_80_80	bubble_area_points2	ARG_definition	host_range_definition	display_order_top_to_bottom
PTU-Lab26	I	1	0	106	0.0	0.0	530.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	1
PTU-Lab30	I	1	8	67	0.1194029850746268	11.94029850746268	343.59999999999997	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	2
PTU-Lab52	I	1	0	25	0.0	0.0	142.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	3
PTU-Lab33	I	1	0	7	0.0	0.0	55.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	4
PTU-Lab43	I	1	0	7	0.0	0.0	55.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	5
PTU-Lab9	I	1	0	5	0.0	0.0	46.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	6
PTU-Lab27	I	1	0	2	0.0	0.0	31.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	7
PTU-Bac29	I	1	0	1	0.0	0.0	26.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	8
PTU-Lab44	II	2	0	66	0.0	0.0	338.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	9
PTU-Lab41	II	2	0	61	0.0	0.0	314.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	10
PTU-Lab1	II	2	0	45	0.0	0.0	238.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	11
PTU-Lab45	II	2	0	32	0.0	0.0	175.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	12
PTU-Lab34	II	2	0	7	0.0	0.0	55.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	13
PTU-Lab8	II	2	0	2	0.0	0.0	31.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	14
PTU-Bif2	II	2	1	1	1.0	100.0	26.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	15
PTU-Lab22	III	3	2	158	0.0126582278481012	1.26582278481012	780.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	16
PTU-Lab23	III	3	2	136	0.0147058823529411	1.47058823529411	674.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	17
PTU-Lab2	III	3	0	47	0.0	0.0	247.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	18
PTU-Lab21	III	3	0	35	0.0	0.0	190.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	19
PTU-Lab12	III	3	0	28	0.0	0.0	156.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	20
PTU-Lab40	III	3	0	17	0.0	0.0	103.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	21
PTU-Lab38	III	3	0	13	0.0	0.0	84.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	22
PTU-Lab46	III	3	0	9	0.0	0.0	65.19999999999999	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	23
PTU-Lab20	III	3	0	8	0.0	0.0	60.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	24
PTU-Lab28	III	3	0	1	0.0	0.0	26.8	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	25
PTU-Lab19	IV	4	0	105	0.0	0.0	526.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	26
PTU-Lab42	IV	4	0	78	0.0	0.0	396.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	27
PTU-Lab11	IV	4	0	59	0.0	0.0	305.2	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	28
PTU-Lab48	IV	4	2	38	0.0526315789473684	5.26315789473684	204.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	29
PTU-Lab29	IV	4	0	30	0.0	0.0	166.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	30
PTU-Lab31	IV	4	1	29	0.0344827586206896	3.44827586206896	161.2	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	31
PTU-Lab10	IV	4	0	17	0.0	0.0	103.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	32
PTU-Lab13	IV	4	5	5	1.0	100.0	46.0	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	33
PTU-Lab36	IV	4	2	4	0.5	50.0	41.2	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	34
PTU-Lab39	IV	4	0	3	0.0	0.0	36.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	35
PTU-Bac45	VI	6	2	3	0.6666666666666666	66.66666666666666	36.4	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	36
PTU-E53	VI	6	2	2	1.0	100.0	31.6	identity >=80% and reference coverage >=80%	External reference host-range grade associated with the PTU	37
