genus	species	source_type	ARG_negative_n	ARG_positive_n	source_n	ARG_positive_rate	fdr	significant	max_rate_difference
Apilactobacillus	Apilactobacillus kunkeei	animal	60	0	60	0	1	FALSE	0
Apilactobacillus	Apilactobacillus kunkeei	food	10	0	10	0	1	FALSE	0
Apilactobacillus	Apilactobacillus waqarii	animal	22	0	22	0	0.33585858585857825	FALSE	0.14285714285714285
Apilactobacillus	Apilactobacillus waqarii	food	6	1	7	0.14285714285714285	0.33585858585857825	FALSE	0.14285714285714285
Apilactobacillus	Apilactobacillus waqarii	other	37	0	37	0	0.33585858585857825	FALSE	0.14285714285714285
Companilactobacillus	Companilactobacillus farciminis	animal	6	3	9	0.3333333333333333	0.6814713064713063	FALSE	0.3333333333333333
Companilactobacillus	Companilactobacillus farciminis	food	5	0	5	0	0.6814713064713063	FALSE	0.3333333333333333
Companilactobacillus	Companilactobacillus sp022484265	food	14	0	14	0	1	FALSE	0
Companilactobacillus	Companilactobacillus sp022484265	other	8	0	8	0	1	FALSE	0
Fructilactobacillus	Fructilactobacillus fructivorans	food	7	0	7	0	1	FALSE	0
Fructilactobacillus	Fructilactobacillus fructivorans	other	5	0	5	0	1	FALSE	0
Fructilactobacillus	Fructilactobacillus sanfranciscensis	human	10	0	10	0	1	FALSE	0.06153846153846154
Fructilactobacillus	Fructilactobacillus sanfranciscensis	food	61	4	65	0.06153846153846154	1	FALSE	0.06153846153846154
Fructilactobacillus	Fructilactobacillus sanfranciscensis	other	5	0	5	0	1	FALSE	0.06153846153846154
Lacticaseibacillus	Lacticaseibacillus casei	human	14	0	14	0	1	FALSE	0
Lacticaseibacillus	Lacticaseibacillus casei	food	30	0	30	0	1	FALSE	0
Lacticaseibacillus	Lacticaseibacillus paracasei	animal	24	0	24	0	5.807092387988413e-4	TRUE	0.024518388791593695
Lacticaseibacillus	Lacticaseibacillus paracasei	human	557	14	571	0.024518388791593695	5.807092387988413e-4	TRUE	0.024518388791593695
Lacticaseibacillus	Lacticaseibacillus paracasei	food	737	0	737	0	5.807092387988413e-4	TRUE	0.024518388791593695
Lacticaseibacillus	Lacticaseibacillus paracasei	other	106	0	106	0	5.807092387988413e-4	TRUE	0.024518388791593695
