genus	species	eligible_source_count	total_MQ_genomes	total_ARG_positive	minimum_source_n	maximum_source_n	minimum_ARG_positive_rate	maximum_ARG_positive_rate	max_rate_difference	highest_rate_source	lowest_rate_source	p_value	fdr	minus_log10_fdr	significant
Lactobacillus	Lactobacillus crispatus	4	763	141	6	571	0	0.7225806451612903	0.7225806451612903	animal	food	1.0571075157655326e-68	1.004252139977256e-66	65.99815723415011	TRUE
Ligilactobacillus	Ligilactobacillus salivarius	4	856	278	14	397	0.11586901763224182	0.5789473684210527	0.4630783507888108	animal	human	4.166770661108606e-44	1.9792160640265878e-42	41.703506792811055	TRUE
Lactobacillus	Lactobacillus sp910589675	4	859	85	11	528	0.015151515151515152	0.3333333333333333	0.3181818181818182	human	other	2.8579564749176768e-25	9.050195503905976e-24	23.043342038988115	TRUE
Limosilactobacillus	Limosilactobacillus reuteri	4	334	65	53	113	0.034482758620689655	0.49557522123893805	0.4610924626182484	animal	food	5.623809728558087e-21	1.3356548105325457e-19	18.874305767347966	TRUE
Limosilactobacillus	Limosilactobacillus reuteri_I	4	234	70	5	137	0	0.48905109489051096	0.48905109489051096	animal	human	1.885535791275427e-15	3.582518003423311e-14	13.445811618441363	TRUE
Lactobacillus	Lactobacillus amylovorus	4	353	199	16	227	0.2	0.7180616740088106	0.5180616740088106	animal	other	3.062599236317041e-14	4.849115457501982e-13	12.314337475204118	TRUE
Pediococcus	Pediococcus acidilactici	4	441	25	29	210	0.013157894736842105	0.22	0.20684210526315788	other	human	5.266631312192362e-8	7.147571066546777e-7	6.145841517864947	TRUE
Pediococcus	Pediococcus pentosaceus	4	261	18	27	153	0	0.36363636363636365	0.36363636363636365	animal	human/other	1.1889439818928645e-7	1.4118709784977766e-6	5.8502049887563405	TRUE
Ligilactobacillus	Ligilactobacillus ruminis	3	912	126	57	798	0.12155388471177944	0.38596491228070173	0.2644110275689223	animal	human	4.414787737344519e-6	4.660053722752548e-5	4.331609076580279	TRUE
Leuconostoc	Leuconostoc mesenteroides	4	555	14	21	427	0	0.13725490196078433	0.13725490196078433	animal	human	4.305171854530536e-5	4.0899132618040093e-4	3.3882859023396836	TRUE
Lacticaseibacillus	Lacticaseibacillus paracasei	4	1438	14	24	737	0	0.024518388791593695	0.024518388791593695	human	animal/food/other	6.724001712407635e-5	5.807092387988413e-4	3.2360412644997587	TRUE
Lactobacillus	Lactobacillus sp945980025	3	120	84	6	91	0.34782608695652173	0.7912087912087912	0.44338270425226944	animal	other	1.811099278223311e-4	0.0014337869285934546	2.8435153832648177	TRUE
Limosilactobacillus	Limosilactobacillus mucosae	4	414	42	34	245	0.058823529411764705	0.3157894736842105	0.2569659442724458	food	other	5.98238121891217e-4	0.004136824009632806	2.3833329546353337	TRUE
Limosilactobacillus	Limosilactobacillus vaginalis	3	221	25	10	139	0	0.17266187050359713	0.17266187050359713	animal	other	6.09637222472203e-4	0.004136824009632806	2.3833329546353337	TRUE
Lactiplantibacillus	Lactiplantibacillus plantarum	4	1955	66	159	1095	0.014184397163120567	0.06443914081145585	0.050254743648335286	human	other	6.783531166645925e-4	0.004296236405542419	2.3669118290781115	TRUE
Lactobacillus	Lactobacillus acidophilus	4	249	9	10	148	0	0.14634146341463414	0.14634146341463414	other	animal	0.001177062592123473	0.006988809140733122	2.155596819628942	TRUE
