genome_id	genus	species	source_type
LABG_000001	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000002	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000003	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000004	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000005	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000006	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000007	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000008	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000009	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000010	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000011	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000012	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000013	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000014	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000015	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000016	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000017	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000018	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000019	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000020	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000021	Lactobacillus		animal
LABG_000022	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000023	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000024	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000025	Bombilactobacillus		animal
LABG_000026	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000027	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000028	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000029	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000030	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000031	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000032	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000033	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000034	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000035	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000036	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000037	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000038	Lactobacillus	Lactobacillus panisapium	animal
LABG_000039	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000040	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000041	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000042	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000043	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000044	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000045	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000046	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000047	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000048	Bombilactobacillus	Bombilactobacillus mellis	animal
LABG_000049	Latilactobacillus	Latilactobacillus sakei	food
LABG_000050	Latilactobacillus	Latilactobacillus sakei	food
LABG_000051	Latilactobacillus	Latilactobacillus sakei	food
LABG_000052	Dellaglioa		food
LABG_000053	Levilactobacillus	Levilactobacillus cerevisiae	food
LABG_000054	Latilactobacillus	Latilactobacillus fuchuensis	food
LABG_000055	Latilactobacillus	Latilactobacillus fuchuensis	food
LABG_000056	Latilactobacillus	Latilactobacillus sakei	food
LABG_000057	Levilactobacillus	Levilactobacillus brevis	food
LABG_000058	Companilactobacillus	Companilactobacillus versmoldensis	food
LABG_000059	Levilactobacillus	Levilactobacillus brevis	food
LABG_000060	Latilactobacillus	Latilactobacillus curvatus	food
LABG_000061	Companilactobacillus	Companilactobacillus versmoldensis	food
LABG_000062	Latilactobacillus	Latilactobacillus sakei	food
LABG_000063	Latilactobacillus	Latilactobacillus curvatus	food
LABG_000064	Latilactobacillus	Latilactobacillus sakei	food
LABG_000065	Latilactobacillus	Latilactobacillus sakei	food
LABG_000066	Weissella	Weissella thailandensis	food
LABG_000067	Weissella	Weissella sagaensis	food
LABG_000068	Latilactobacillus	Latilactobacillus curvatus	food
LABG_000069	Weissella	Weissella sagaensis	food
LABG_000070	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000071	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000072	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000073	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000074	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000075	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000076	Companilactobacillus	Companilactobacillus versmoldensis	food
LABG_000077	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food
LABG_000078	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food
LABG_000079	Lentilactobacillus	Lentilactobacillus parabuchneri	food
LABG_000080	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000081	Lentilactobacillus	Lentilactobacillus otakiensis	food
LABG_000082	Latilactobacillus	Latilactobacillus sakei	food
LABG_000083	Lentilactobacillus	Lentilactobacillus otakiensis	food
LABG_000084	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000085	Latilactobacillus	Latilactobacillus curvatus	food
LABG_000086	Lactiplantibacillus	Lactiplantibacillus plantarum	food
LABG_000087	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000088	Lactiplantibacillus	Lactiplantibacillus plantarum	food
LABG_000089	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000090	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000091	Lactiplantibacillus	Lactiplantibacillus plantarum	food
LABG_000092	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food
LABG_000093	Lactiplantibacillus	Lactiplantibacillus plantarum	food
LABG_000094	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000095	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000096	Lentilactobacillus	Lentilactobacillus otakiensis	food
LABG_000097	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000098	Lentilactobacillus	Lentilactobacillus diolivorans	food
LABG_000099	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000100	Loigolactobacillus	Loigolactobacillus coryniformis	food
LABG_000101	Lentilactobacillus	Lentilactobacillus diolivorans	food
LABG_000102	Lentilactobacillus	Lentilactobacillus otakiensis	food
LABG_000103	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000104	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000105	Weissella	Weissella thailandensis	food
LABG_000106	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000107	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000108	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000109	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000110	Weissella	Weissella thailandensis	food
LABG_000111	Weissella	Weissella thailandensis	food
LABG_000112	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000113	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000114	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000115	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000116	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000117	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000118	Leuconostoc	Leuconostoc falkenbergense	food
LABG_000119	Weissella	Weissella thailandensis	food
LABG_000120	Weissella	Weissella sagaensis	food
LABG_000121	Leuconostoc	Leuconostoc mesenteroides	food
LABG_000122	Weissella	Weissella sagaensis	food
LABG_000123	Leuconostoc	Leuconostoc carnosum	food
LABG_000124	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000125	Pediococcus	Pediococcus acidilactici	human
LABG_000126	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000127	Pediococcus	Pediococcus acidilactici	human
LABG_000128	Limosilactobacillus	Limosilactobacillus antri	human
LABG_000129	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000130	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000131	Lactobacillus	Lactobacillus paragasseri	human
LABG_000132	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000133	Limosilactobacillus	Limosilactobacillus fermentum	human
LABG_000134	Lactobacillus	Lactobacillus paragasseri	human
LABG_000135	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000136	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000137	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000138	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
