ARG_hit_id	genome_id	genome_set	is_rep99	genus	species	source_type	ARG_gene	ARG_class
ARGH_000001	LABG_000256	Rep99	yes	Lactobacillus	Lactobacillus panisapium	animal	tet(W)	tetracycline
ARGH_000002	LABG_000349	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	Streptococcus suis chloramphenicol acetyltransferase	phenicol
ARGH_000003	LABG_000375	MQ	no	Ligilactobacillus	Ligilactobacillus ruminis	human	dfrF	trimethoprim
ARGH_000004	LABG_000375	MQ	no	Ligilactobacillus	Ligilactobacillus ruminis	human	tet(M)	tetracycline
ARGH_000005	LABG_000382	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tet(B)	tetracycline
ARGH_000006	LABG_000382	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tetR	tetracycline
ARGH_000007	LABG_000383	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ANT(6)-Ib	aminoglycoside
ARGH_000008	LABG_000383	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuA	MLS
ARGH_000009	LABG_000384	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	mef(B)	MLS
ARGH_000010	LABG_000384	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	sul3	sulfonamide
ARGH_000011	LABG_000384	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	vatE	MLS
ARGH_000012	LABG_000385	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000013	LABG_000386	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000014	LABG_000387	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tet(B)	tetracycline
ARGH_000015	LABG_000387	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tetR	tetracycline
ARGH_000016	LABG_000388	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(B)	tetracycline
ARGH_000017	LABG_000388	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tetR	tetracycline
ARGH_000018	LABG_000389	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	ErmB	MLS
ARGH_000019	LABG_000390	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000020	LABG_000391	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000021	LABG_000391	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	fexA	phenicol
ARGH_000022	LABG_000392	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	fexA	phenicol
ARGH_000023	LABG_000393	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	lnuA	MLS
ARGH_000024	LABG_000394	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000025	LABG_000395	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	vatE	MLS
ARGH_000026	LABG_000396	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000027	LABG_000397	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	lnuA	MLS
ARGH_000028	LABG_000398	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	ErmB	MLS
ARGH_000029	LABG_000398	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	tet(44)	tetracycline
ARGH_000030	LABG_000399	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000031	LABG_000399	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000032	LABG_000400	Rep99	yes	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000033	LABG_000401	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexA	phenicol
ARGH_000034	LABG_000401	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	vatE	MLS
ARGH_000035	LABG_000402	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuA	MLS
ARGH_000036	LABG_000403	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000037	LABG_000403	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(B)	tetracycline
ARGH_000038	LABG_000403	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tetR	tetracycline
ARGH_000039	LABG_000404	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	ErmB	MLS
ARGH_000040	LABG_000404	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	fexA	phenicol
ARGH_000041	LABG_000405	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexA	phenicol
ARGH_000042	LABG_000406	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	CfxA2	beta-lactam
ARGH_000043	LABG_000406	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	ErmG	MLS
ARGH_000044	LABG_000408	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000045	LABG_000408	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000046	LABG_000408	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000047	LABG_000408	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	poxtA	multidrug
ARGH_000048	LABG_000409	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	lnuA	MLS
ARGH_000049	LABG_000410	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	poxtA	multidrug
ARGH_000050	LABG_000411	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	vatE	MLS
ARGH_000051	LABG_000412	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	poxtA	multidrug
ARGH_000052	LABG_000412	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	tet(44)	tetracycline
ARGH_000053	LABG_000413	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000054	LABG_000414	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuA	MLS
ARGH_000055	LABG_000414	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	poxtA	multidrug
ARGH_000056	LABG_000415	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	fexA	phenicol
ARGH_000057	LABG_000415	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	lnuA	MLS
