ARG99_cluster_id	genome_id
repARGgff0001174	LABG_000256
repARGgff0000002	LABG_000400
repARGgff0000003	LABG_000406
repARGgff0001346	LABG_000406
repARGgff0001217	LABG_000411
repARGgff0000481	LABG_000417
repARGgff0000418	LABG_000423
repARGgff0001217	LABG_000423
repARGgff0000481	LABG_000437
repARGgff0000116	LABG_000437
repARGgff0001345	LABG_000446
repARGgff0000489	LABG_000447
repARGgff0000490	LABG_000447
repARGgff0001345	LABG_000474
repARGgff0000481	LABG_000478
repARGgff0000418	LABG_000483
repARGgff0000418	LABG_000486
repARGgff0001089	LABG_000488
repARGgff0001090	LABG_000488
repARGgff0000481	LABG_000489
repARGgff0000481	LABG_000491
repARGgff0001345	LABG_000492
repARGgff0000481	LABG_000497
repARGgff0000481	LABG_000498
repARGgff0000481	LABG_000508
repARGgff0000481	LABG_000510
repARGgff0001393	LABG_000529
repARGgff0001393	LABG_000530
repARGgff0001321	LABG_000960
repARGgff0001217	LABG_000966
repARGgff0000290	LABG_000970
repARGgff0001321	LABG_000972
repARGgff0000002	LABG_000976
repARGgff0000045	LABG_000990
repARGgff0000035	LABG_000999
repARGgff0001321	LABG_001000
repARGgff0001380	LABG_001000
repARGgff0000038	LABG_001001
repARGgff0001089	LABG_001003
repARGgff0001090	LABG_001003
repARGgff0000597	LABG_001005
repARGgff0000641	LABG_001006
repARGgff0001346	LABG_001007
repARGgff0001160	LABG_001010
repARGgff0000045	LABG_001010
repARGgff0000290	LABG_001010
repARGgff0001217	LABG_001015
repARGgff0001217	LABG_001016
repARGgff0000641	LABG_001020
repARGgff0001315	LABG_001021
repARGgff0001346	LABG_001021
repARGgff0000038	LABG_001021
repARGgff0000290	LABG_001023
repARGgff0001299	LABG_001023
repARGgff0001207	LABG_001023
repARGgff0000641	LABG_001026
repARGgff0001321	LABG_001040
repARGgff0000058	LABG_001043
repARGgff0000290	LABG_001046
repARGgff0000644	LABG_001046
repARGgff0000834	LABG_001049
repARGgff0001087	LABG_001049
repARGgff0000063	LABG_001056
repARGgff0001154	LABG_001068
repARGgff0001122	LABG_001073
repARGgff0000066	LABG_001085
repARGgff0001217	LABG_001087
repARGgff0000721	LABG_001091
repARGgff0001393	LABG_001091
repARGgff0001281	LABG_001098
repARGgff0000597	LABG_001101
repARGgff0000072	LABG_001107
repARGgff0000073	LABG_001109
repARGgff0000108	LABG_001109
repARGgff0000091	LABG_001111
repARGgff0000116	LABG_001111
repARGgff0001155	LABG_001111
repARGgff0001217	LABG_001111
repARGgff0000421	LABG_001116
repARGgff0000038	LABG_001119
repARGgff0001155	LABG_001119
repARGgff0000116	LABG_001124
repARGgff0000083	LABG_001127
repARGgff0000834	LABG_001132
repARGgff0001217	LABG_001134
repARGgff0001393	LABG_001135
repARGgff0001154	LABG_001135
repARGgff0000116	LABG_001135
repARGgff0000578	LABG_001135
repARGgff0001345	LABG_001138
repARGgff0000091	LABG_001139
repARGgff0000290	LABG_001150
repARGgff0001154	LABG_001154
repARGgff0001321	LABG_001162
repARGgff0000421	LABG_001167
repARGgff0000677	LABG_001167
repARGgff0001346	LABG_001167
repARGgff0001121	LABG_001167
repARGgff0001122	LABG_001167
repARGgff0001328	LABG_001167
repARGgff0000290	LABG_001167
repARGgff0000418	LABG_001181
repARGgff0000483	LABG_001181
repARGgff0000834	LABG_001185
repARGgff0001321	LABG_001185
repARGgff0000106	LABG_001185
repARGgff0000035	LABG_001192
repARGgff0000108	LABG_001192
repARGgff0001327	LABG_001195
repARGgff0001321	LABG_001195
repARGgff0000116	LABG_001195
repARGgff0000002	LABG_001202
repARGgff0000483	LABG_001202
repARGgff0000641	LABG_001204
repARGgff0000002	LABG_001204
repARGgff0000116	LABG_001208
repARGgff0000922	LABG_001210
repARGgff0000118	LABG_001210
repARGgff0001155	LABG_001210
repARGgff0000120	LABG_001211
repARGgff0001345	LABG_001214
repARGgff0001409	LABG_001219
repARGgff0000922	LABG_001219
repARGgff0001217	LABG_001219
repARGgff0000597	LABG_001222
repARGgff0000641	LABG_001228
repARGgff0000597	LABG_001229
repARGgff0001217	LABG_001230
repARGgff0000641	LABG_001231
repARGgff0001409	LABG_001232
repARGgff0000131	LABG_001232
repARGgff0001217	LABG_001233
repARGgff0000641	LABG_001235
repARGgff0001321	LABG_001235
repARGgff0000116	LABG_001235
repARGgff0000597	LABG_001235
repARGgff0000641	LABG_001238
repARGgff0001155	LABG_001239
repARGgff0000641	LABG_001242
repARGgff0000116	LABG_001242
repARGgff0001217	LABG_001242
repARGgff0000641	LABG_001249
repARGgff0000642	LABG_001249
repARGgff0000144	LABG_001249
repARGgff0000641	LABG_001252
repARGgff0000597	LABG_001253
repARGgff0000038	LABG_001254
repARGgff0001369	LABG_001259
repARGgff0000641	LABG_001264
repARGgff0000116	LABG_001264
repARGgff0000641	LABG_001265
repARGgff0001321	LABG_001265
repARGgff0000116	LABG_001265
repARGgff0000154	LABG_001267
repARGgff0001393	LABG_001268
repARGgff0001320	LABG_001270
repARGgff0000120	LABG_001272
repARGgff0000158	LABG_001273
repARGgff0000922	LABG_001273
repARGgff0001320	LABG_001273
repARGgff0001217	LABG_001275
repARGgff0000597	LABG_001532
repARGgff0001321	LABG_001652
repARGgff0001321	LABG_001655
repARGgff0000116	LABG_001670
repARGgff0001174	LABG_001670
repARGgff0001321	LABG_001735
repARGgff0001174	LABG_001735
repARGgff0001174	LABG_001740
repARGgff0001321	LABG_001747
repARGgff0000597	LABG_001751
repARGgff0001127	LABG_001751
repARGgff0001128	LABG_001751
repARGgff0001393	LABG_001755
repARGgff0001174	LABG_001755
repARGgff0001174	LABG_001785
repARGgff0000922	LABG_001788
repARGgff0000644	LABG_001788
repARGgff0001385	LABG_002033
repARGgff0001154	LABG_002034
repARGgff0001321	LABG_002118
repARGgff0000182	LABG_002122
repARGgff0000183	LABG_002209
repARGgff0000289	LABG_002275
repARGgff0000185	LABG_002275
repARGgff0000289	LABG_002318
repARGgff0001321	LABG_002384
repARGgff0000644	LABG_002384
repARGgff0001174	LABG_002389
repARGgff0000597	LABG_002424
repARGgff0001321	LABG_002426
repARGgff0000230	LABG_002426
repARGgff0001174	LABG_002426
repARGgff0001321	LABG_002445
repARGgff0000195	LABG_002445
repARGgff0000644	LABG_002447
repARGgff0000597	LABG_002493
repARGgff0001174	LABG_002493
repARGgff0001321	LABG_002498
repARGgff0001174	LABG_002498
repARGgff0001217	LABG_002498
repARGgff0001174	LABG_002548
repARGgff0001174	LABG_002551
repARGgff0001345	LABG_002580
repARGgff0000290	LABG_002580
repARGgff0001174	LABG_002580
repARGgff0000116	LABG_002645
repARGgff0001174	LABG_002645
repARGgff0001174	LABG_002648
repARGgff0001321	LABG_002962
repARGgff0000481	LABG_002962
repARGgff0000483	LABG_002962
repARGgff0001217	LABG_002962
repARGgff0000230	LABG_003077
repARGgff0000714	LABG_003091
repARGgff0000290	LABG_003091
repARGgff0000230	LABG_003091
repARGgff0001321	LABG_003170
repARGgff0000116	LABG_003170
repARGgff0000220	LABG_003203
repARGgff0000834	LABG_003203
repARGgff0001321	LABG_003203
repARGgff0000116	LABG_003203
repARGgff0000290	LABG_003203
repARGgff0001174	LABG_003203
repARGgff0000597	LABG_003218
repARGgff0001174	LABG_003218
repARGgff0001174	LABG_003219
repARGgff0001174	LABG_003222
repARGgff0000230	LABG_003225
repARGgff0000420	LABG_003226
repARGgff0000421	LABG_003226
repARGgff0000290	LABG_003226
repARGgff0001393	LABG_003239
repARGgff0000116	LABG_003239
repARGgff0000290	LABG_003239
repARGgff0001174	LABG_003239
repARGgff0001314	LABG_003239
repARGgff0000195	LABG_003240
repARGgff0001174	LABG_003260
repARGgff0001314	LABG_003260
repARGgff0000597	LABG_003264
repARGgff0001174	LABG_003264
repARGgff0001314	LABG_003264
repARGgff0001393	LABG_003265
repARGgff0000116	LABG_003265
repARGgff0001174	LABG_003265
repARGgff0001393	LABG_003274
repARGgff0000116	LABG_003274
repARGgff0001174	LABG_003274
repARGgff0001314	LABG_003274
repARGgff0001174	LABG_003281
repARGgff0001314	LABG_003281
repARGgff0000597	LABG_003290
repARGgff0000385	LABG_003290
repARGgff0001314	LABG_003290
repARGgff0000257	LABG_003296
repARGgff0000230	LABG_003302
repARGgff0001174	LABG_003366
repARGgff0001314	LABG_003366
repARGgff0001321	LABG_003387
repARGgff0000597	LABG_003387
repARGgff0000230	LABG_003387
repARGgff0000641	LABG_003391
repARGgff0000642	LABG_003391
repARGgff0000116	LABG_003391
repARGgff0000597	LABG_003391
repARGgff0000290	LABG_003391
repARGgff0000230	LABG_003391
repARGgff0000421	LABG_003392
repARGgff0000116	LABG_003392
repARGgff0000597	LABG_003392
repARGgff0000290	LABG_003392
repARGgff0000230	LABG_003392
repARGgff0000641	LABG_003394
repARGgff0000116	LABG_003394
repARGgff0000230	LABG_003394
