ARG_hit_id	genome_id	genome_set	ARG_gene	ARG_class	best_hit_MGE_id	best_hit_MGE_category	best_hit
ARGH_000001	LABG_000256	Rep99	tet(W)	tetracycline			no
ARGH_000002	LABG_000349	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000003	LABG_000375	MQ	dfrF	trimethoprim			no
ARGH_000004	LABG_000375	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_000005	LABG_000382	MQ	tet(B)	tetracycline			no
ARGH_000006	LABG_000382	MQ	tetR	tetracycline			no
ARGH_000007	LABG_000383	MQ	ANT(6)-Ib	aminoglycoside			no
ARGH_000008	LABG_000383	MQ	lnuA	MLS			no
ARGH_000009	LABG_000384	MQ	mef(B)	MLS			no
ARGH_000010	LABG_000384	MQ	sul3	sulfonamide			no
ARGH_000011	LABG_000384	MQ	vatE	MLS			no
ARGH_000012	LABG_000385	MQ	ErmA	MLS			no
ARGH_000013	LABG_000386	MQ	fexA	phenicol			no
ARGH_000014	LABG_000387	MQ	tet(B)	tetracycline			no
ARGH_000015	LABG_000387	MQ	tetR	tetracycline			no
ARGH_000016	LABG_000388	MQ	tet(B)	tetracycline			no
ARGH_000017	LABG_000388	MQ	tetR	tetracycline			no
ARGH_000018	LABG_000389	MQ	ErmB	MLS			no
ARGH_000019	LABG_000390	MQ	ErmA	MLS			no
ARGH_000020	LABG_000391	MQ	ErmA	MLS			no
ARGH_000021	LABG_000391	MQ	fexA	phenicol			no
ARGH_000022	LABG_000392	MQ	fexA	phenicol			no
ARGH_000023	LABG_000393	MQ	lnuA	MLS			no
ARGH_000024	LABG_000394	MQ	fexA	phenicol			no
ARGH_000025	LABG_000395	MQ	vatE	MLS			no
ARGH_000026	LABG_000396	MQ	ErmB	MLS			no
ARGH_000027	LABG_000397	MQ	lnuA	MLS			no
ARGH_000028	LABG_000398	MQ	ErmB	MLS			no
ARGH_000029	LABG_000398	MQ	tet(44)	tetracycline			no
ARGH_000030	LABG_000399	MQ	ErmA	MLS			no
ARGH_000031	LABG_000399	MQ	vatE	MLS			no
ARGH_000032	LABG_000400	Rep99	ErmA	MLS			no
ARGH_000033	LABG_000401	MQ	fexA	phenicol			no
ARGH_000034	LABG_000401	MQ	vatE	MLS			no
ARGH_000035	LABG_000402	MQ	lnuA	MLS			no
ARGH_000036	LABG_000403	MQ	ErmA	MLS			no
ARGH_000037	LABG_000403	MQ	tet(B)	tetracycline			no
ARGH_000038	LABG_000403	MQ	tetR	tetracycline			no
ARGH_000039	LABG_000404	MQ	ErmB	MLS			no
ARGH_000040	LABG_000404	MQ	fexA	phenicol			no
ARGH_000041	LABG_000405	MQ	fexA	phenicol			no
ARGH_000042	LABG_000406	Rep99	CfxA2	beta-lactam			no
ARGH_000043	LABG_000406	Rep99	ErmG	MLS			no
ARGH_000044	LABG_000408	MQ	ErmB	MLS			no
ARGH_000045	LABG_000408	MQ	fexA	phenicol			no
ARGH_000046	LABG_000408	MQ	fexB	phenicol			no
ARGH_000047	LABG_000408	MQ	poxtA	multidrug	301_tnpA_AB362339.1	IS_or_transposase	yes
ARGH_000048	LABG_000409	MQ	lnuA	MLS			no
ARGH_000049	LABG_000410	MQ	poxtA	multidrug			no
ARGH_000050	LABG_000411	Rep99	vatE	MLS			no
ARGH_000051	LABG_000412	MQ	poxtA	multidrug			no
ARGH_000052	LABG_000412	MQ	tet(44)	tetracycline			no
ARGH_000053	LABG_000413	MQ	fexB	phenicol			no
ARGH_000054	LABG_000414	MQ	lnuA	MLS			no
ARGH_000055	LABG_000414	MQ	poxtA	multidrug			no
ARGH_000056	LABG_000415	MQ	fexA	phenicol			no
