genome_id	genome_set	genus	species	source_type	ARG_positive	ARG_hit_count	ARG_gene_count	ARG_class_count
LABG_000001	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000002	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000003	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000004	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000005	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000006	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000007	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000008	Rep99	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000009	Rep99	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000010	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000011	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000012	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000013	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000014	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000015	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000016	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000017	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000018	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000019	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000020	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000021	Rep99	Lactobacillus		animal	no	0	0	0
LABG_000022	Rep99	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000023	Rep99	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000024	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000025	Rep99	Bombilactobacillus		animal	no	0	0	0
LABG_000026	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000027	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000028	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000029	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000030	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000031	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000032	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000033	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000034	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000035	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000036	Rep99	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000037	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000038	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000039	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000040	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000041	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000042	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000043	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000044	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000045	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000046	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000047	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000048	MQ	Bombilactobacillus	Bombilactobacillus mellis	animal	no	0	0	0
LABG_000049	MQ	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000050	MQ	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000051	MQ	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
